0,2018-9-25 07:21,【#女儿被打父亲捅死男生#：事发前双方家长对话曝光，并无激烈冲突】9月21日，浙江瑞安隆山实验小学发生一起“小学男生被女同学父亲杀害案”。2天前，男生叶某在学校打伤女同学眼睛。当晚双方父母通过微信有过沟通。叶某母亲向对方道歉，希望陪受伤女孩去医院看看。而犯罪嫌疑人林某某则希望，“(死者叶某)能当着老师同学的面向女儿道歉，“给他一个教训”。叶某妈妈表示愿意。双方似乎就处理纠纷达成一致。
26,9月27日 08:34 ,请叫我撬棍,YINGYICHEN_,暴民言论?怎么就暴民了，在道德层面我支持他这么做。他对净化学校环境是有贡献的。一言不合，能动手就少动嘴，这么我问问你，我儿子被你儿子打了，打伤了骨折了，叫学校来，你赔钱赔礼，你能让我儿子打回去么?  能让我儿子把你儿子打骨折么?你能跪下给我儿子道歉么?你觉得谁差那钱么?  你在拿钱侮辱谁 
27,9月27日 08:14 ,性感少男在线发脾气,又逢落花天,我捶你一拳，让你眼睛痛一天，然后你跟我说是普通的肢体碰撞 
28,9月27日 07:47 ,黎明你不要来,,挺女孩父亲 
29,9月27日 07:45 ,余洋_CEO,,信息不全面，估计这事应该是校园欺凌，然后学校没当回事，处理有失公允，男孩方家长不以为然，才酿成了这种极端事件 
30,9月27日 07:42 ,Sunny970R,阜元山燃木人,认同 
31,9月27日 07:41 ,Sunny970R,全是萌宠呀,怎样可能没有校园欺凌，除非没人类。 
32,9月27日 07:27 ,YINGYICHEN_,请叫我撬棍,最后 学校里欺负人是“非” ，同样你自己也说这是个非黑即白的世界。欺负了人不是必要死，被欺负人不是必要杀，世界上没有解决方法吗？这新闻里不是已经在沟通解决了？一不合心意就持刀杀人？你自己说的话觉得矛盾吗？没事少看那些暴民言论  多回家陪陪父母吧 
33,9月27日 07:22 ,YINGYICHEN_,请叫我撬棍,同样的这件事也给别的孩子竖立了“榜样”   觉得受欺负了可以的叫爸爸带刀过来杀人了这件事也给那些学校里的孩子心理带来了负面影响  。给那些熊孩子的父母一个提醒没有别的方法吗  用这种自己爽了不管别人死活的方法还得到你们的叫好？我真的是要笑笑死 说自己分的清是非 
34,9月27日 07:18 ,YINGYICHEN_,请叫我撬棍,我真是可笑死了  就是多了你这种三观不正 思考单线双商又低的人 微博评论区才真实乌烟瘴气  欺负和欺凌都分不清的人 。每个人都是人生父母养的 随意剥夺了别人的生命 还得到了你们这种人的叫好 美名曰给世人敲醒警钟 真的是棒的不能再棒了以后一言不合家长就带刀去学校 因为有例子了 
35,9月27日 06:04 ,韩先生123456789,啊人998,你咋不去杀人？还是说你天天杀人！ 
36,9月27日 05:50 ,请叫我撬棍,YINGYICHEN_,是非我分的很清楚啊，在学校欺负人，难道不是“非”? 
37,9月27日 05:48 ,请叫我撬棍,YINGYICHEN_,我从来也没说过杀人是对的，我只是说我可以理解杀人的想法，这不是一个非黑即白的世界，暴力也许不能解决大部分问题，可这件事的出现绝对可以震醒一些没有约束好孩子的父母。 
38,9月27日 03:04 ,啊人998,韩先生123456789,你混过社会吗？你有工作经验吗？只说不做是这个社会的常态你不知道？前面口头答应的很好，就差拍胸脯立毒誓了，后面做的事情完全不是这样的我天天遇到。 
39,9月27日 18:21 ,又逢落花天,性感少男在线发脾气,是否故意？受伤程度？都不用考虑？脑子长着干嘛的呢？ 
40,9月27日 18:08 ,棣棠棠棠,琛琛Jasmine,不比杀人好？你觉得教训一个家人不管的熊孩子会比成为一个杀人犯过分吗？你什么脑回路吗？ 
41,9月27日 18:04 ,拂过原野的风,温文尔雅小妮子,是呀！而且，动不动就拿出“精神病”这个盾牌，让人好没安全感。 
42,9月27日 18:02 ,温文尔雅小妮子,拂过原野的风,看到都心痛 不然跑这观注啥 好好的娃 尊重死者。…… 
43,9月27日 17:29 ,遇见小小云,盈盈向前看,情事没弄清之前，我们说什么都是徒劳的，谁也不是女孩的父亲不是？ 
44,9月27日 16:24 ,尘_隐古风控,西蒙乖乖,而女生家长到现在都没有发声，所以不能单凭一面之词就做判断，我只是想说这也是给大家一个教训，教育好自己的孩子不要出去惹祸，因为搞不好碰到个精神病家长就该你倒霉了，就算惩罚了他，受害的孩子也活不过来，其实对于受害家庭并没有任何意义，明白吗？？ 
45,9月27日 16:22 ,尘_隐古风控,西蒙乖乖,首先，我没说女孩的家长杀人是对的不用负责任，侵害性杀人偿命必须严惩，就算有精神病也不例外，其次，人家要求的是家长带孩子当全班面道歉，但家长好像并没有，再次，你说的那些微信沟通和男生家长说的协商好了也只是男生家长的一面之词（提醒你下微信那种东西是可以P图的） 
46,9月27日 16:17 ,啊人998,哎呀麦吖,不是所有人都像那个女孩父亲一样那么激进，那么满腔热血的。 
47,9月27日 16:16 ,啊人998,韩先生123456789,。。。有病。你初中毕业没？ 
48,9月27日 16:06 ,童栗栗啊,琛琛Jasmine,我言语我反抗我找家长我报警我起诉甚至我打那小孩子一顿，我都不会当个杀人犯，更不会让我的女儿变成杀人犯的女儿。 
49,9月27日 16:03 ,Everlasting-Meteor,小蒂美,你姐做得很对，有素质的人啊！ 
50,9月27日 15:49 ,琛琛Jasmine,棣棠棠棠,打人又好到哪里去 
51,9月27日 15:49 ,琛琛Jasmine,喵桑Luk,道歉管屁用 
52,9月27日 15:48 ,琛琛Jasmine,童栗栗啊,你牛逼你挨打别言语 
53,9月27日 15:34 ,我是a6481953893,,是我的女儿，我也这样做！ 
54,9月27日 14:50 ,拂过原野的风,温文尔雅小妮子,我也没别的意思。就是觉得一个小孩死于非命，挺可怜的，还有这么多人误解，有点心塞。 
55,9月27日 14:40 ,GLouis,吕凯飘在北京,素质奇低。 
56,9月27日 14:35 ,-0808Y,亦大雨林0331,原来你说的是废话，废话你还说出来干嘛！ 
57,9月27日 14:27 ,哎呀麦吖,啊人998,麻烦提高一下阅读理解能力，你做了这些事，被你弄伤的孩子家长拿着刀来杀你了吗 
58,9月27日 14:17 ,520的风女人,,通过你儿子就能看出来你是什么东西！女孩父亲虽然做法冲动了些，但也算为民除害！ 
59,9月27日 13:43 ,小鹿买买买买,,你让你的女儿以后还能健康成长吗，一辈子都会带着阴影，人家都不愿意跟她交朋友 
60,9月27日 13:41 ,有呦吃呦,哎呀麦吖,说实在那会我就想拿刀把欺负我的全部捅死 
61,9月27日 13:14 ,幽暗城里的亡灵神兽,全是萌宠呀,谁上小学的时候没和同学打过架 有温顺的就有淘气的 到你这这么小怎么就成校园欺凌了？ 
62,9月27日 13:03 ,捷猪子,silence784,笑死我了，这就高潮了 
63,9月27日 12:53 ,郑囡楠,全是萌宠呀,刚才看了说杀人犯有精神疾病 
64,9月27日 12:40 ,流水风清,coral斯小天使,别急先你再我有个垫背 
65,9月27日 12:36 ,枪炮与玫瑰乐园,lucky洛克,我只是在问这小孩子到底做过没有？而不是在肯定，学校到底有没有放任和失职只有他们自己知道，这个社会冷血和残忍的家长毕竟少数，我看到的更多的是不加管理用小打小闹和孩子这些话来掩饰欺凌，我们以前上学老师个学校对不端行为的管理和约束是非常强力的，而不是现在的不作为。 
66,9月27日 12:23 ,好咯哇618,科学家-陈汪蛋,没错，我觉得，很对 
67,9月27日 12:22 ,天策府小师弟,,挺可怜的，再生一个，还来得及... 
68,9月27日 12:19 ,科学家-陈汪蛋,科学家-陈汪蛋,@珊珊酱麦麦民主，富强 
69,9月27日 12:18 ,温文尔雅小妮子,拂过原野的风,只是关心此事件而己。看到别人的评价 发表观点 也没别的意思。 
70,9月27日 12:17 ,温文尔雅小妮子,荣吉海产,我也只看到别人的评论 发表观点 
71,9月27日 12:16 ,温文尔雅小妮子,荣吉海产,你也太那啥了吧。都只是关心此事件而己。说得好像你多牛逼似的 至于不。 
72,9月27日 12:15 ,科学家-陈汪蛋,科学家-陈汪蛋, 
73,9月27日 12:15 ,科学家-陈汪蛋,,大家，看看就好了，这种事，也不方便，多做评价，毕竟我们都不了解事实 
74,9月27日 11:54 ,张志东baby12,彼岸繁花丶流水,可以，请求捅死！！！ 
75,9月27日 11:48 ,purple鸭鸭,追梦刘dreamliu,对了，以后你小孩调皮捣蛋把人家孩子弄轻伤了，不用去医院的那种，你主动加对方父母微信道歉了，准备带孩子去医院，也准备按照对方家长说的当全班面道歉。……然后对方父亲把你孩子捅十几刀给杀了，等有看客说你孩子是“咎由自取”、人家是被逼无奈才出此下策的时候……希望你要理解，并不要心寒 
76,9月27日 11:41 ,X_皮皮要加油,xxxxf__,家长拒绝道歉了？从你这个狗屁逻辑可以看出被弄到眼睛的人是你呀 
77,9月27日 11:41 ,xxxxf__,伪王子之歌,那你是哪样逻辑呢 
78,9月27日 11:40 ,xxxxf__,X_皮皮要加油,不小心被弄伤就不该好好赔礼道歉了？你又是什么狗屁逻辑 
79,9月27日 11:39 ,purple鸭鸭,追梦刘dreamliu,你宁愿相信自己臆测，也不愿相信采访内容和警方通报。。 
80,9月27日 11:25 ,叮叮小若若,silence784,想必你也是吧 
81,9月27日 11:19 ,silence784,莎菲娜的丈夫,希望你的小孩别被人这样教育，你这种垃色估计生出来的也不是啥好鸟 
82,9月27日 11:16 ,追梦刘dreamliu,purple鸭鸭,没有欺人太甚  谁会狗起跳墙 
83,9月27日 11:15 ,silence784,叮叮小若若,你家孩子估计没什么朋友 
84,9月27日 11:14 ,追梦刘dreamliu,摩羯座兔子1222所以都是咎由自取,   家长三观不正    才会让孩子欺负别人   穷人有什么办法   没生活在社会的最底层你不会懂得什么叫仗势欺人  惹不起不想躲就只能以暴制暴   虽然很毁三观  很不正能量  但这就是社会的现实  校园凌辱根本就得不到应有的惩罚  一句未成年便掩盖所有 花点钱解决问题 
85,9月27日 11:13 ,silence784,美忆22,你这种估计也生不出来一个正常的孩子，就不跟你讲道理了 
86,9月27日 11:12 ,silence784,沈嘉轩88815,你也该为你的言行负责 
87,9月27日 11:10 ,silence784,李昶鋆,你家也活该被打死 
88,9月27日 11:10 ,purple鸭鸭,追梦刘dreamliu,说的对，可是跟主题有什么关系呢？ 
89,9月27日 11:09 ,silence784,橘生淮南则为喵,咋了，死了吗 
90,9月27日 11:09 ,silence784,千裡徔迯,你再说你仔子嘛 
